title,pub_year,fcs_author
How Do Hunter-Gatherer Children Learn Subsistence Skills?,2017,['Noa Lavi']
How do hunter-gatherer children learn social and gender norms? A meta-ethnographic review,2018,['Noa Lavi' 'Sheina Lew-Levy']
Site Formation Processes and Hunter-Gatherers Use of Space in a Tropical Environment: A Geo-Ethnoarchaeological Approach from South India,2016,['Noa Lavi']
The formation of fire residues associated with hunter-gatherers in humid tropical environments: A geo-ethnoarchaeological perspective,2017,['Noa Lavi' 'David Friesem']
Towards a Broader View of Hunter-Gatherer Sharing,2019,['Noa Lavi']
"Foragers, tropical forests and the formation of archaeological evidences: an ethnoarchaeological view from South India",2017,['Noa Lavi' 'David Friesem']
"Foragers, tropical forests and the formation of archaeological evidences: An ethnoarchaeological view from South India",2017,['Noa Lavi']
At Home Under Development: A Housing Project for the Hunter-gatherers Nayaka of the Nilgiris,2014,['Noa Lavi']
Where innovations flourish: an ethnographic and archaeological overview of hunter–gatherer learning contexts,2020,"['Noa Lavi' 'Sheina Lew-Levy' 'Sarah M. Pope' 'Annemieke Milks'
 'David Friesem']"
Potentials and limitations for the identification of outdoor dung plasters in humid tropical environment: a geo-ethnoarchaeological case study from South India,2019,['Noa Lavi' 'David Friesem']
At home in a Changing World: External changes and cultural continuity in the life of the Nayaka (a hunter-gatherer group) in South India,2012,['Noa Lavi']
An ethnoarchaeological view on hunter-gatherer sharing and its archaeological implications for the use of social space,2019,['Noa Lavi' 'David Friesem']
"Mobility, autonomy and learning: Could the transition from egalitarian to non-egalitarian social structures start with children?",2020,['Noa Lavi' 'Sheina Lew-Levy']
The archaeology of sharing immaterial things: social gatherings and the making of collective identities of the Eastern Saharan last hunter-gatherers,2019,['Noa Lavi' 'David Friesem']
Cross-cultural variation in child and adolescent time allocation to work and play in twelve hunter-gatherer and mixed-subsistence societies,2021,"['Noa Lavi' 'Sheina Lew-Levy' 'Stephen Kissler' 'Renee Hagen'
 'Adam H. Boyette' 'Illaria Pretelli' 'Alyssa Crittenden']"
"“We Only Teach Them How to Be Together”: Parenting, Child Development, and Engagement with Formal Education Among the Nayaka in South India",2021,['Noa Lavi']
Hunter-gatherer children in the past: an archaeological review,2021,['Noa Lavi' 'Sheina Lew-Levy' 'Annemieke Milks' 'David Friesem']
Hunter-gatherer sharing,2019,['Noa Lavi']
Hunter-gatherer situations: Response by Noa Lavi to Thomas Widlok’s keynote speech (CHAGS XI),2016,['Noa Lavi']
How Do Hunter-Gatherer Children Learn Subsistence Skills? A meta-ethnographic review,2017,['Sheina Lew-Levy']
Universal norm psychology leads to societal diversity in prosocial behaviour and development,2020,['Sheina Lew-Levy' 'Alyssa Crittenden']
